trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.75, 'e': 0.4367863958719317}",20,6,-40.920222710599205,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.75, 'e': 0.42805066795449304}",20,4,-123.33945489783649,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 3}",1
44,False,"{'a': 0.75, 'e': 0.4194896545954032}",25,0,1.328028721155756,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.75, 'e': 0.41109986150349515}",20,15,-32.59820839384757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.75, 'e': 0.4028778642734252}",20,0,-43.06748570482594,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
47,False,"{'a': 0.75, 'e': 0.39482030698795667}",25,19,6.210660645797017,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.75, 'e': 0.38692390084819756}",20,0,6.903173071473249,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.75, 'e': 0.3791854228312336}",30,0,-25.955303030194585,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.75, 'e': 0.3716017143746089}",20,0,-62.3560517077677,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.75, 'e': 0.36416968008711675}",25,0,-44.554571157946725,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
52,False,"{'a': 0.75, 'e': 0.3568862864853744}",30,3,-63.5909600617079,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 1}",1
53,False,"{'a': 0.75, 'e': 0.3497485607556669}",25,3,-4.398443266773878,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.75, 'e': 0.34275358954055357}",30,0,-102.3077370185401,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
55,False,"{'a': 0.75, 'e': 0.3358985177497425}",20,2,-40.7675188684746,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
56,False,"{'a': 0.75, 'e': 0.3291805473947476}",25,15,-23.69138423873631,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.75, 'e': 0.32259693644685267}",30,0,-104.53348085905142,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.75, 'e': 0.3161449977179156}",25,11,25.088807770203783,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.75, 'e': 0.3098220977635573}",20,0,-26.623772413599866,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.75, 'e': 0.30362565580828615}",25,5,-67.30624378760713,"{0: 15, 1: 1, 2: 0, 3: 4, 4: 0}",1
61,False,"{'a': 0.75, 'e': 0.2975531426921204}",20,1,-22.865367726282194,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
62,False,"{'a': 0.75, 'e': 0.291602079838278}",35,0,-53.10166424199846,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.75, 'e': 0.2857700382415124}",25,14,3.142456021231074,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.75, 'e': 0.2800546374766822}",20,10,-34.69863870159362,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.75, 'e': 0.2744535447271485}",25,0,-61.34036601913646,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.75, 'e': 0.2689644738326056}",30,0,-143.5653879793489,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 4}",0
67,False,"{'a': 0.75, 'e': 0.26358518435595346}",30,0,-83.77792764283993,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 1}",0
68,False,"{'a': 0.75, 'e': 0.25831348066883436}",20,0,9.364735321826702,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.75, 'e': 0.2531472110554577}",20,9,4.377069913657733,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.75, 'e': 0.2480842668343485}",25,18,-10.440880063615372,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.75, 'e': 0.24312258149766153}",20,0,-21.5944210725747,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
72,False,"{'a': 0.75, 'e': 0.2382601298677083}",20,12,-19.639290549316858,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.75, 'e': 0.23349492727035415}",20,0,-21.544018126464245,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
74,False,"{'a': 0.75, 'e': 0.22882502872494703}",20,0,5.562175784079733,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.75, 'e': 0.2242485281504481}",25,0,10.435395930672382,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.75, 'e': 0.21976355758743912}",20,0,-93.98098427661539,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.75, 'e': 0.21536828643569034}",20,16,5.506573067564881,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.75, 'e': 0.21106092070697655}",30,22,12.768445894592183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.75, 'e': 0.206839702292837}",30,4,3.5984901672529195,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.75, 'e': 0.20270290824698026}",20,2,-10.58913126824499,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.75, 'e': 0.19864885008204064}",20,9,-3.777306061174497,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.75, 'e': 0.19467587308039982}",20,0,0.9586471784203661,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
83,False,"{'a': 0.75, 'e': 0.19078235561879184}",20,0,-27.37498180387291,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
84,False,"{'a': 0.75, 'e': 0.186966708506416}",20,0,-21.932274209682458,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
85,False,"{'a': 0.75, 'e': 0.18322737433628766}",20,0,12.978379418644616,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.75, 'e': 0.1795628268495619}",20,7,9.130276607942603,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.75, 'e': 0.17597157031257069}",25,0,-27.302560666784238,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.75, 'e': 0.17245213890631925}",30,0,15.767414046630378,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
89,False,"{'a': 0.75, 'e': 0.16900309612819286}",20,14,11.1109284451805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.75, 'e': 0.16562303420562902}",20,6,-9.673852493337526,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.75, 'e': 0.16231057352151643}",25,0,42.143205795724775,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.75, 'e': 0.1590643620510861}",25,10,14.136889687997844,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.75, 'e': 0.15588307481006436}",25,13,-18.521386821522345,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.75, 'e': 0.1527654133138631}",20,4,-8.497631963885699,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.75, 'e': 0.1497101050475858}",25,2,-10.230740556040557,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.75, 'e': 0.14671590294663409}",20,10,18.278014842903954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.75, 'e': 0.1437815848877014}",25,14,19.247484280172557,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.75, 'e': 0.1409059531899474}",25,0,14.63545481213178,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.75, 'e': 0.13808783412614842}",25,0,-55.10998729053862,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
100,False,"{'a': 0.75, 'e': 0.13532607744362546}",20,5,-29.32774840859184,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.75, 'e': 0.13261955589475294}",30,20,14.962042858879064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.75, 'e': 0.12996716477685788}",25,0,-17.059533499781498,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.75, 'e': 0.12736782148132073}",25,11,23.236466817302052,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 0.12482046505169431}",25,11,24.52461847629885,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.75, 'e': 0.12232405575066042}",20,5,4.591198093961337,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.75, 'e': 0.11987757463564722}",30,18,-2.750458300790587,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.75, 'e': 0.11748002314293426}",30,23,-30.91012751928166,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.75, 'e': 0.11513042268007558}",25,11,1.7207601537165995,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.75, 'e': 0.11282781422647406}",25,0,30.4029686897623,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.75, 'e': 0.11057125794194458}",20,0,22.258680002992854,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.75, 'e': 0.10835983278310568}",30,7,27.00777229234225,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.75, 'e': 0.10619263612744358}",20,0,30.653898533112788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.75, 'e': 0.1040687834048947}",35,5,-48.812660805818716,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",1
114,False,"{'a': 0.75, 'e': 0.1019874077367968}",25,6,23.347792447905096,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.75, 'e': 0.09994765958206087}",20,3,16.267436024846557,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.75, 'e': 0.09794870639041964}",20,0,9.54963847760143,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.75, 'e': 0.09598973226261125}",30,12,23.25955706498848,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.75, 'e': 0.09406993761735902}",25,5,27.897352923164206,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.75, 'e': 0.09218853886501184}",30,0,37.76777331841289,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.75, 'e': 0.09034476808771161}",25,18,12.931348664111649,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.75, 'e': 0.08853787272595737}",25,8,-57.0709333318191,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
122,False,"{'a': 0.75, 'e': 0.08676711527143822}",25,0,16.3911497291718,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
123,False,"{'a': 0.75, 'e': 0.08503177296600946}",25,2,33.862998113326725,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.75, 'e': 0.08333113750668926}",20,10,14.443460923232928,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.75, 'e': 0.08166451475655548}",20,5,23.314373397361177,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.75, 'e': 0.08003122446142437}",20,2,26.706393129228275,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.75, 'e': 0.07843059997219588}",25,0,35.780765471445875,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.75, 'e': 0.07686198797275196}",20,10,18.33259024993338,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.75, 'e': 0.07532474821329692}",20,3,29.126044392673673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.75, 'e': 0.07381825324903098}",25,0,30.97783529040172,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.75, 'e': 0.07234188818405035}",20,6,-16.726040493072826,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.75, 'e': 0.07089505042036935}",30,0,2.207228679805251,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
133,False,"{'a': 0.75, 'e': 0.06947714941196197}",20,1,25.614598578084642,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.75, 'e': 0.06808760642372272}",20,0,-5.705032810455313,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
135,False,"{'a': 0.75, 'e': 0.06672585429524826}",25,16,7.692662634195452,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.75, 'e': 0.0653913372093433}",30,19,12.803536000021543,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.75, 'e': 0.06408351046515644}",25,8,27.09360065952703,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.75, 'e': 0.0628018402558533}",20,0,14.389395223092384,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.75, 'e': 0.061545803450736236}",20,6,20.23601531087889,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.75, 'e': 0.060314887381721506}",20,3,-16.5098865921663,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.75, 'e': 0.05910858963408708}",25,13,23.92509618726983,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.75, 'e': 0.057926417841405335}",20,0,13.612682922595072,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.75, 'e': 0.05676788948457723}",25,0,27.962416872323658,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.75, 'e': 0.05563253169488568}",30,0,40.90835186887844,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.75, 'e': 0.054519881060987964}",30,20,15.180674983651048,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.75, 'e': 0.05342948343976821}",20,0,-2.775165469431113,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.75, 'e': 0.05236089377097284}",30,18,21.241941095710384,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.75, 'e': 0.051313675895553384}",25,11,23.5367804777854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.75, 'e': 0.050287402377642315}",30,18,23.126856603594224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.75, 'e': 0.04928165433008947}",25,3,12.096960357646383,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.75, 'e': 0.048296021243487676}",20,9,23.46063445359051,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.75, 'e': 0.04733010081861792}",25,0,33.510925329616995,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.75, 'e': 0.046383498802245564}",20,12,14.90372986107004,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.75, 'e': 0.04545582882620065}",20,0,24.94744837626408,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.75, 'e': 0.044546712249676636}",30,16,-17.69680049312972,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.75, 'e': 0.04365577800468311}",25,9,3.438348041207891,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.75, 'e': 0.04278266244458944}",25,10,12.939150894353542,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.75, 'e': 0.041927009195697654}",25,18,11.37066752653963,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.75, 'e': 0.041088469011783695}",25,8,-17.610586367595655,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.75, 'e': 0.040266699631548025}",25,11,-29.489604549799612,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.75, 'e': 0.03946136563891706}",30,15,-4.040135726748685,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
162,False,"{'a': 0.75, 'e': 0.03867213832613872}",25,20,8.691791257907777,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.75, 'e': 0.03789869555961595}",35,13,47.92158444881278,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.75, 'e': 0.03714072164842362}",20,0,27.510207157856886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.75, 'e': 0.036397907215455154}",20,0,7.920553801682571,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
166,False,"{'a': 0.75, 'e': 0.03566994907114605}",20,0,7.912859480458165,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.75, 'e': 0.03495655008972313}",20,9,-3.5329100253578867,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.75, 'e': 0.03425741908792866}",20,0,24.311477379217536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.75, 'e': 0.03357227070617009}",20,2,30.282208971992667,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.75, 'e': 0.03290082529204669}",25,13,23.902373431379424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.75, 'e': 0.03224280878620575}",20,6,-59.1127707268929,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
172,False,"{'a': 0.75, 'e': 0.031597952610481636}",20,5,-58.96086382023175,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
173,False,"{'a': 0.75, 'e': 0.030965993558272006}",20,12,11.083186544554716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.75, 'e': 0.030346673687106564}",20,8,20.47659099423124,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.02973974021336443}",20,0,15.969597866427636,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
176,False,"{'a': 0.75, 'e': 0.029144945409097144}",25,14,18.454371185104353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.75, 'e': 0.0285620465009152}",25,15,15.037748855471527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.027990805570896896}",20,12,13.281246798630251,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.75, 'e': 0.027430989459478958}",20,12,12.789709651811235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
